Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
The Stanford Prison Experiment,6.9,1,0,0,0,Biography;Drama;History;Thriller,122
My Week with Marilyn,7,1,0,0,0,Biography;Drama,99
Catfish,7.1,1,0,0,0,Documentary;Drama;Mystery;Thriller,87
Secret Superstar,7.9,1,0,0,0,Drama;Music,150
Private Life,7.2,1,0,0,0,Comedy;Drama,123
Jarhead,7,1,0,0,0,Action;Biography;Drama;War,125
Yes Man,6.8,1,0,0,0,Comedy;Romance,104
For the Love of Spock,7.6,1,0,0,0,Documentary;Biography,111
Goon,6.8,1,0,0,0,Comedy;Drama;Sport,92
Ace Ventura: Pet Detective,6.9,1,0,0,0,Comedy,86
Inequality for All,8,1,0,0,0,Documentary,89
Olympus Has Fallen,6.5,1,0,0,0,Action;Thriller,119
Dave Chappelle: Sticks & Stones,8.5,1,0,0,0,Comedy,65
John Mulaney: Kid Gorgeous at Radio City,7.9,1,0,0,0,Comedy,65
La Bamba,6.9,1,0,0,0,Biography;Drama;Music,108
Public Enemies,7,1,0,0,0,Biography;Crime;Drama;History,140
Supersonic,7.9,1,0,0,0,Documentary;Biography;Music,122
The Edge of Democracy,7.1,1,0,0,0,Documentary;History,121
The Polar Express,6.6,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy;Musical,100
Under the Skin,6.3,1,0,0,0,Drama;Horror;Sci-Fi;Thriller,108
Crip Camp: A Disability Revolution,7.8,1,0,0,0,Documentary,106
Tell Me Who I Am,7.6,1,0,0,0,Documentary;Drama;Mystery,85
Hey Arnold! The Jungle Movie,7.6,1,1,0,0,Animation;Adventure;Comedy;Family;Fantasy,81
Zack and Miri Make a Porno,6.5,1,0,0,0,Comedy;Romance,101
The Score,6.8,1,0,1,0,Crime;Drama;Thriller,124
Hamburger Hill,6.7,1,0,1,0,Action;Drama;Thriller;War,110
9,7.1,1,0,0,0,Animation;Action;Adventure;Drama;Family;Horror;Mystery;Sci-Fi,79
Undefeated,7.7,1,0,0,0,Documentary;Sport,113
Team Foxcatcher,7.3,1,0,0,0,Documentary;Biography;Crime;History;Sport,90
A Shaun the Sheep Movie: Farmageddon,6.9,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy;Sci-Fi,86
April and the Extraordinary World,7.3,1,0,0,0,Animation;Adventure;Comedy;Drama;Family;Mystery;Sci-Fi;Thriller,105
The Highwaymen,6.9,1,0,0,0,Biography;Crime;Drama;Mystery;Thriller,132
Legend,6.9,1,0,0,0,Biography;Crime;Drama;Thriller,132
